left,right
"tensor([509.4471, 681.7481])","tensor([549.5971, 681.7481])"
"tensor([509.4225, 681.7481])","tensor([549.5724, 681.7481])"
"tensor([509.3992, 681.7481])","tensor([549.5492, 681.7481])"
"tensor([503.8070, 666.6918])","tensor([553.9944, 666.6918])"
"tensor([506.9797, 656.6544])","tensor([552.1484, 656.6544])"
"tensor([505.3342, 656.6544])","tensor([550.5030, 661.6731])"
"tensor([505.2909, 656.6544])","tensor([550.4597, 661.6731])"
"tensor([506.6020, 661.6731])","tensor([551.7707, 661.6731])"
"tensor([506.6331, 661.6731])","tensor([551.8019, 661.6731])"
"tensor([510.8956, 681.7481])","tensor([551.0456, 681.7481])"
"tensor([510.0271, 681.7481])","tensor([545.1584, 681.7481])"
"tensor([510.0543, 681.7481])","tensor([545.1855, 681.7481])"
"tensor([509.9032, 681.7481])","tensor([545.0344, 681.7481])"
"tensor([508.7087, 676.7294])","tensor([548.8587, 676.7294])"
"tensor([506.4605, 681.7481])","tensor([546.6105, 681.7481])"
"tensor([501.1661, 656.6544])","tensor([551.3537, 656.6544])"
"tensor([501.4679, 646.6169])","tensor([546.6367, 651.6356])"
"tensor([501.4727, 646.6169])","tensor([546.6414, 651.6356])"
"tensor([499.5487, 646.6169])","tensor([544.7175, 651.6356])"
"tensor([499.1717, 651.6356])","tensor([544.3405, 656.6544])"
"tensor([505.2121, 676.7294])","tensor([545.3621, 676.7294])"
"tensor([504.7890, 676.7294])","tensor([544.9390, 676.7294])"
"tensor([504.7864, 676.7294])","tensor([544.9365, 676.7294])"
"tensor([503.1354, 681.7481])","tensor([543.2853, 676.7294])"
"tensor([503.2162, 681.7481])","tensor([543.3661, 676.7294])"
"tensor([505.4359, 681.7481])","tensor([545.5859, 676.7294])"
"tensor([500.5500, 651.6356])","tensor([550.7375, 651.6356])"
"tensor([500.5892, 651.6356])","tensor([550.7767, 651.6356])"
"tensor([506.5967, 646.6169])","tensor([551.7655, 646.6169])"
"tensor([505.1728, 651.6356])","tensor([550.3416, 651.6356])"
"tensor([506.4556, 666.6918])","tensor([551.6243, 656.6544])"
"tensor([511.6061, 666.6918])","tensor([551.7562, 656.6544])"
"tensor([511.6446, 666.6918])","tensor([551.7946, 656.6544])"
"tensor([512.8683, 681.7481])","tensor([553.0182, 686.7668])"
"tensor([710.5423, 675.3171])","tensor([736.4174, 675.3171])"
"tensor([713.9388, 671.6725])","tensor([740.0572, 667.3195])"
"tensor([715.8826, 661.9562])","tensor([747.5613, 661.9562])"
"tensor([715.9938, 662.0406])","tensor([743.1307, 662.0406])"
"tensor([716.1415, 662.1002])","tensor([743.2668, 662.1002])"
"tensor([720.8546, 646.9854])","tensor([753.5423, 651.6550])"
"tensor([720.1030, 649.3864])","tensor([752.8298, 649.3864])"
"tensor([720.0794, 650.8389])","tensor([752.7704, 655.5091])"
"tensor([725.6088, 656.5413])","tensor([753.8066, 661.2410])"
"tensor([725.5953, 656.5226])","tensor([753.7968, 661.2229])"
"tensor([725.4971, 656.5864])","tensor([753.6863, 661.2845])"
"tensor([716.1053, 685.4706])","tensor([747.5462, 676.4875])"
"tensor([709.9476, 687.0492])","tensor([740.9651, 678.1870])"
"tensor([715.0315, 686.6967])","tensor([741.6989, 677.8075])"
"tensor([718.1296, 675.2485])","tensor([745.3434, 679.7842])"
"tensor([718.0934, 675.2094])","tensor([745.3156, 675.2094])"
"tensor([718.1027, 675.1762])","tensor([745.3320, 675.1762])"
"tensor([720.1910, 653.9713])","tensor([748.8846, 663.5358])"
"tensor([714.4831, 653.9841])","tensor([747.9561, 658.7660])"
"tensor([713.6617, 654.2758])","tensor([747.0691, 659.0482])"
"tensor([713.5666, 654.3253])","tensor([746.9628, 659.0963])"
"tensor([715.7961, 653.5800])","tensor([749.3600, 663.1697])"
"tensor([715.7824, 653.5778])","tensor([749.3469, 663.1677])"
"tensor([705.5835, 682.6964])","tensor([737.6144, 673.5446])"
"tensor([701.9232, 683.8830])","tensor([733.7899, 674.7783])"
"tensor([702.7606, 688.3713])","tensor([734.6451, 674.7065])"
"tensor([702.4608, 688.6851])","tensor([738.8002, 675.0579])"
"tensor([705.6044, 681.7602])","tensor([738.0403, 672.4929])"
"tensor([705.7166, 681.8077])","tensor([738.1399, 672.5439])"
"tensor([712.7516, 657.9654])","tensor([751.2193, 667.5823])"
"tensor([718.7133, 655.1658])","tensor([753.0235, 660.0673])"
"tensor([722.9542, 654.1400])","tensor([752.5674, 659.0755])"
"tensor([722.9695, 654.1911])","tensor([757.5064, 659.1250])"
"tensor([725.4877, 656.2204])","tensor([754.6863, 665.9533])"
"tensor([719.5831, 677.1281])","tensor([747.3851, 681.7617])"
"tensor([718.9989, 677.1538])","tensor([746.7951, 681.7865])"
"tensor([718.9805, 677.1354])","tensor([746.7807, 681.7688])"
"tensor([714.3314, 688.0364])","tensor([750.8776, 678.8998])"
"tensor([715.2863, 685.8633])","tensor([752.5251, 681.2085])"
"tensor([715.3976, 685.8724])","tensor([747.9790, 681.2180])"
"tensor([715.3940, 685.8918])","tensor([747.9700, 681.2380])"
"tensor([723.8213, 660.9703])","tensor([757.9144, 665.8408])"
"tensor([723.7067, 653.8795])","tensor([758.3161, 653.8795])"
"tensor([721.8359, 647.7211])","tensor([756.7187, 652.7043])"
"tensor([723.1625, 653.0292])","tensor([757.9697, 658.0016])"
"tensor([723.2432, 653.1668])","tensor([758.0183, 658.1348])"
"tensor([723.2256, 653.1523])","tensor([758.0041, 658.1207])"
